cycle,range_bin,doppler_bin,output_hex
1124145000,0,0,0192ff4a
1124155000,0,1,ff790108
1124165000,0,2,ff3cfe56
1124175000,0,3,00fe01ac
1124185000,0,4,ff86fe89
1124195000,0,5,0016012d
1124205000,0,6,ff89ff85
1124215000,0,7,0053ff61
1124225000,0,8,01860012
1124235000,0,9,fdcd0158
1124245000,0,10,00a3ff0f
1124255000,0,11,010e001a
1124265000,0,12,ff840049
1124275000,0,13,ff1affe0
1124285000,0,14,00a90006
1124295000,0,15,00d100cf
1124305000,0,16,ff6cfdc0
1124315000,0,17,ff170140
1124325000,0,18,0136ff0e
1124335000,0,19,0008017c
1124345000,0,20,fee2fdf3
1124355000,0,21,00ec029f
1124365000,0,22,005ffda3
1124375000,0,23,fe910151
1124385000,0,24,00f4ff60
1124395000,0,25,fe430024
1124405000,0,26,01b3008d
1124415000,0,27,ff040022
1124425000,0,28,0044ff07
1124435000,0,29,ff5400f8
1124445000,0,30,031fff7a
1124455000,0,31,fd0300c3
1129525000,1,0,011701f7
1129535000,1,1,ff21fdd5
1129545000,1,2,002a0027
1129555000,1,3,01d500da
1129565000,1,4,fe140089
1129575000,1,5,0069fe7b
1129585000,1,6,ffef0005
1129595000,1,7,012d01b3
1129605000,1,8,fdb1fe63
1129615000,1,9,01a90070
1129625000,1,10,fe9800fe
1129635000,1,11,010ffef7
1129645000,1,12,ff68fff8
1129655000,1,13,ff65ffdb
1129665000,1,14,0151015f
1129675000,1,15,fffffef8
1129685000,1,16,006dffaf
1129695000,1,17,fe630057
1129705000,1,18,01b2008f
1129715000,1,19,ff3dfed0
1129725000,1,20,ff1200b3
1129735000,1,21,005500ed
1129745000,1,22,010bff1d
1129755000,1,23,fe53ff13
1129765000,1,24,012f00df
1129775000,1,25,ffd3ffe4
1129785000,1,26,ff38013c
1129795000,1,27,00fbfe7b
1129805000,1,28,ff860154
1129815000,1,29,01bdff6d
1129825000,1,30,ff21014f
1129835000,1,31,fef5fdc6
1134905000,2,0,fef201f2
1134915000,2,1,ffe5ff3f
1134925000,2,2,0087003f
1134935000,2,3,003f00a1
1134945000,2,4,ff45fee5
1134955000,2,5,006d012f
1134965000,2,6,ffebffb9
1134975000,2,7,00a2ff45
1134985000,2,8,fe120090
1134995000,2,9,02c20033
1135005000,2,10,feadffab
1135015000,2,11,fff60029
1135025000,2,12,ffd80047
1135035000,2,13,006afeeb
1135045000,2,14,fec101cf
1135055000,2,15,0139fef8
1135065000,2,16,007aff7c
1135075000,2,17,fdad0073
1135085000,2,18,01ff0031
1135095000,2,19,ffebff75
1135105000,2,20,00270211
1135115000,2,21,ff0dfecf
1135125000,2,22,00c10075
1135135000,2,23,0114fed9
1135145000,2,24,fe9e008a
1135155000,2,25,0068ff17
1135165000,2,26,fff9016d
1135175000,2,27,0070fe89
1135185000,2,28,ff18002b
1135195000,2,29,00e8fff3
1135205000,2,30,ffef01db
1135215000,2,31,fff9fcfa
1140285000,3,0,00060124
1140295000,3,1,fe7b002c
1140305000,3,2,0202feef
1140315000,3,3,fdd70110
1140325000,3,4,01c4ff62
1140335000,3,5,fe66008d
1140345000,3,6,00c1ff54
1140355000,3,7,021a00d3
1140365000,3,8,fcd2fe66
1140375000,3,9,01b20141
1140385000,3,10,0019ff5b
1140395000,3,11,ff4b0092
1140405000,3,12,0010001c
1140415000,3,13,003dffaa
1140425000,3,14,ff63ff20
1140435000,3,15,fff30174
1140445000,3,16,0122fea6
1140455000,3,17,fdff0154
1140465000,3,18,0056feab
1140475000,3,19,00e701bc
1140485000,3,20,003efeca
1140495000,3,21,ffd60179
1140505000,3,22,ffebfe8c
1140515000,3,23,ffd002a3
1140525000,3,24,007afc34
1140535000,3,25,00400247
1140545000,3,26,ff33005b
1140555000,3,27,fff7ff6e
1140565000,3,28,016afdec
1140575000,3,29,fe930190
1140585000,3,30,012d0168
1140595000,3,31,ffdbfdb2
1145665000,4,0,009eff54
1145675000,4,1,fd7001db
1145685000,4,2,0248fea6
1145695000,4,3,ff76007d
1145705000,4,4,00230026
1145715000,4,5,ff11ff86
1145725000,4,6,0134fff4
1145735000,4,7,00bf00cf
1145745000,4,8,fda7fecb
1145755000,4,9,01210163
1145765000,4,10,0029ff10
1145775000,4,11,ff610038
1145785000,4,12,ff8cffb9
1145795000,4,13,011f0041
1145805000,4,14,ff8affa8
1145815000,4,15,fef200b0
1145825000,4,16,020aff44
1145835000,4,17,fdc200cb
1145845000,4,18,0146ff14
1145855000,4,19,ff4002cd
1145865000,4,20,00d7fcf8
1145875000,4,21,ff9502dc
1145885000,4,22,0000fe0a
1145895000,4,23,0053018b
1145905000,4,24,00bdfd91
1145915000,4,25,ffc90197
1145925000,4,26,0031001a
1145935000,4,27,fe75ffa6
1145945000,4,28,02deff35
1145955000,4,29,fd2fffc5
1145965000,4,30,021a02a6
1145975000,4,31,ff30fd96
1151045000,5,0,fe8b00cc
1151055000,5,1,00f1ff4c
1151065000,5,2,feb6ff72
1151075000,5,3,016e00ba
1151085000,5,4,fea60092
1151095000,5,5,01f1ff76
1151105000,5,6,fe31ff35
1151115000,5,7,01140188
1151125000,5,8,0115feab
1151135000,5,9,fd7c014f
1151145000,5,10,0110fe72
1151155000,5,11,ff6a01bd
1151165000,5,12,009dfe78
1151175000,5,13,00180145
1151185000,5,14,ff6afe0c
1151195000,5,15,0090027e
1151205000,5,16,00c7fe4e
1151215000,5,17,fde3003a
1151225000,5,18,00f80066
1151235000,5,19,004c0142
1151245000,5,20,0044fe68
1151255000,5,21,fef3009e
1151265000,5,22,01d7004b
1151275000,5,23,fdba0034
1151285000,5,24,01c9ff3f
1151295000,5,25,0010ff13
1151305000,5,26,005e01c6
1151315000,5,27,fe54feff
1151325000,5,28,0239ff7a
1151335000,5,29,fdbc012f
1151345000,5,30,0162fee4
1151355000,5,31,0032002e
1156425000,6,0,ff5e0081
1156435000,6,1,00f8ffbc
1156445000,6,2,fef0ff43
1156455000,6,3,00ed017b
1156465000,6,4,0157fecb
1156475000,6,5,fd67fff4
1156485000,6,6,02680034
1156495000,6,7,fe8d00ea
1156505000,6,8,014bfe38
1156515000,6,9,fe380135
1156525000,6,10,01d2ffc7
1156535000,6,11,fe4affd5
1156545000,6,12,008cfef3
1156555000,6,13,ffd9011c
1156565000,6,14,fed7ffcf
1156575000,6,15,01e8ff50
1156585000,6,16,001c0061
1156595000,6,17,fd500060
1156605000,6,18,0234007b
1156615000,6,19,ff29ff31
1156625000,6,20,00a500c3
1156635000,6,21,fe2b0170
1156645000,6,22,0244fecc
1156655000,6,23,ff11fef8
1156665000,6,24,ffeb010a
1156675000,6,25,010cfeeb
1156685000,6,26,ff020107
1156695000,6,27,011c00bb
1156705000,6,28,fea0fde3
1156715000,6,29,00d9023c
1156725000,6,30,013dfefd
1156735000,6,31,fe9effba
1161805000,7,0,ff380178
1161815000,7,1,0172ff99
1161825000,7,2,fe810024
1161835000,7,3,00c0ff58
1161845000,7,4,00070160
1161855000,7,5,005ffecf
1161865000,7,6,ffec005d
1161875000,7,7,ff7cff2c
1161885000,7,8,01020138
1161895000,7,9,ff4eff74
1161905000,7,10,00d9fe64
1161915000,7,11,fee9020a
1161925000,7,12,0033ff7f
1161935000,7,13,ff78ffeb
1161945000,7,14,0135fef6
1161955000,7,15,fd60018f
1161965000,7,16,02e2ff18
1161975000,7,17,fe2aff73
1161985000,7,18,00a101a0
1161995000,7,19,ff20fea0
1162005000,7,20,01a50172
1162015000,7,21,fef1ffa5
1162025000,7,22,009c0059
1162035000,7,23,fed4ff50
1162045000,7,24,01540114
1162055000,7,25,ffcafdc8
1162065000,7,26,ffe50208
1162075000,7,27,ff7bff62
1162085000,7,28,00c1ffc3
1162095000,7,29,ff840031
1162105000,7,30,01a30084
1162115000,7,31,febcfe69
1167185000,8,0,fe08ff27
1167195000,8,1,006b006c
1167205000,8,2,ff1fff92
1167215000,8,3,02580020
1167225000,8,4,fe6700a8
1167235000,8,5,ff8effe5
1167245000,8,6,0050fe8b
1167255000,8,7,0101011c
1167265000,8,8,fedfffa8
1167275000,8,9,00a90104
1167285000,8,10,ff54fea8
1167295000,8,11,016a01d2
1167305000,8,12,ff0ffd3c
1167315000,8,13,003703de
1167325000,8,14,ffe1fbe0
1167335000,8,15,fff6028b
1167345000,8,16,0002fe89
1167355000,8,17,00a30076
1167365000,8,18,fe73fed4
1167375000,8,19,013e01f4
1167385000,8,20,0061fe3c
1167395000,8,21,fe4000fd
1167405000,8,22,01440091
1167415000,8,23,fee9ffa8
1167425000,8,24,0113fefc
1167435000,8,25,fe95008e
1167445000,8,26,0076010e
1167455000,8,27,ff60ff8e
1167465000,8,28,014dff34
1167475000,8,29,fff700e4
1167485000,8,30,ff8f0120
1167495000,8,31,01f8ff45
1172565000,9,0,012d0168
1172575000,9,1,fe7efdcc
1172585000,9,2,003700a8
1172595000,9,3,01c60090
1172605000,9,4,fece0065
1172615000,9,5,ff5ffd60
1172625000,9,6,000302f4
1172635000,9,7,0194fd9d
1172645000,9,8,fe380252
1172655000,9,9,003cfe0c
1172665000,9,10,ffef01d1
1172675000,9,11,00cdfefb
1172685000,9,12,ff130024
1172695000,9,13,ff3cff51
1172705000,9,14,01c00177
1172715000,9,15,ff9eff34
1172725000,9,16,0019febc
1172735000,9,17,ff6401f2
1172745000,9,18,fff5ff9e
1172755000,9,19,0126fff6
1172765000,9,20,fdccff69
1172775000,9,21,01d1016c
1172785000,9,22,ff05fecc
1172795000,9,23,0064001b
1172805000,9,24,000e0012
1172815000,9,25,007aff1a
1172825000,9,26,ff010231
1172835000,9,27,ffcfff03
1172845000,9,28,01270026
1172855000,9,29,ffdcffb7
1172865000,9,30,009c0181
1172875000,9,31,ff22fe38
1177945000,10,0,00c9fe50
1177955000,10,1,006c00ae
1177965000,10,2,feaa0076
1177975000,10,3,013dff82
1177985000,10,4,ff9e0093
1177995000,10,5,017dff82
1178005000,10,6,fec1003f
1178015000,10,7,0052013c
1178025000,10,8,ffc5fddd
1178035000,10,9,00c300d9
1178045000,10,10,ff29ff68
1178055000,10,11,0000011e
1178065000,10,12,0032fdb5
1178075000,10,13,ffc202af
1178085000,10,14,0015fd3e
1178095000,10,15,00ea021b
1178105000,10,16,ff59fed8
1178115000,10,17,004001a6
1178125000,10,18,feeafdb8
1178135000,10,19,00a5016c
1178145000,10,20,002e0041
1178155000,10,21,ff15fff2
1178165000,10,22,011dff31
1178175000,10,23,ff2affac
1178185000,10,24,0069001b
1178195000,10,25,ffb5008f
1178205000,10,26,0197fff2
1178215000,10,27,fdb6fff8
1178225000,10,28,0072009f
1178235000,10,29,01180031
1178245000,10,30,ff49fe62
1178255000,10,31,ff220209
1183325000,11,0,00d7ffa9
1183335000,11,1,feb800c0
1183345000,11,2,012eff6d
1183355000,11,3,ff02002b
1183365000,11,4,fffbff5f
1183375000,11,5,0053011e
1183385000,11,6,ffa2fe8a
1183395000,11,7,007f01fc
1183405000,11,8,ff28fd81
1183415000,11,9,fff4021f
1183425000,11,10,0095fea9
1183435000,11,11,ff8e0173
1183445000,11,12,0124fff5
1183455000,11,13,ff5400a0
1183465000,11,14,ff8afe51
1183475000,11,15,012d014d
1183485000,11,16,0177fe85
1183495000,11,17,fbd6010e
1183505000,11,18,0372ff63
1183515000,11,19,fe90006f
1183525000,11,20,00a5fe6f
1183535000,11,21,fefd01b2
1183545000,11,22,017afeca
1183555000,11,23,fefd0184
1183565000,11,24,0066fe99
1183575000,11,25,ff120007
1183585000,11,26,00830177
1183595000,11,27,0028ff67
1183605000,11,28,fef0febd
1183615000,11,29,01200124
1183625000,11,30,00120003
1183635000,11,31,ffb7ffd7
1188705000,12,0,01eeffa4
1188715000,12,1,fed50089
1188725000,12,2,fe35ffc5
1188735000,12,3,032f0097
1188745000,12,4,ff75fed5
1188755000,12,5,fe860030
1188765000,12,6,001b0076
1188775000,12,7,018000df
1188785000,12,8,ff24fdd0
1188795000,12,9,fee601b5
1188805000,12,10,01e9ff61
1188815000,12,11,fefd0062
1188825000,12,12,ffd90031
1188835000,12,13,ff91feba
1188845000,12,14,020b005c
1188855000,12,15,febb01d2
1188865000,12,16,00c2fc6a
1188875000,12,17,fde30289
1188885000,12,18,0287ff55
1188895000,12,19,fe05ff83
1188905000,12,20,009500c1
1188915000,12,21,ffc80074
1188925000,12,22,0037ff20
1188935000,12,23,feda0003
1188945000,12,24,01acffea
1188955000,12,25,feceffcd
1188965000,12,26,00c301cd
1188975000,12,27,febffe6c
1188985000,12,28,01d50181
1188995000,12,29,feb5fece
1189005000,12,30,00e30196
1189015000,12,31,ff1bfec4
1194085000,13,0,ffab00e1
1194095000,13,1,0016ff6c
1194105000,13,2,ffbbfef2
1194115000,13,3,014f0287
1194125000,13,4,ff9efcc5
1194135000,13,5,feb90279
1194145000,13,6,0114feb6
1194155000,13,7,013200d4
1194165000,13,8,ff2ffecc
1194175000,13,9,fef6004c
1194185000,13,10,008c0053
1194195000,13,11,ff16008d
1194205000,13,12,0104fde3
1194215000,13,13,fe6001eb
1194225000,13,14,01c4ff04
1194235000,13,15,ff0100a6
1194245000,13,16,0121fef5
1194255000,13,17,fd72013a
1194265000,13,18,01d10056
1194275000,13,19,ffdf003f
1194285000,13,20,fed4feaf
1194295000,13,21,014b0211
1194305000,13,22,0024ff72
1194315000,13,23,ff80ff3a
1194325000,13,24,0081002e
1194335000,13,25,0002ff52
1194345000,13,26,ffd802a5
1194355000,13,27,0054fce9
1194365000,13,28,008600c9
1194375000,13,29,ff0400bf
1194385000,13,30,011cffd4
1194395000,13,31,ff4dff68
1199465000,14,0,fff400a3
1199475000,14,1,ffbf0095
1199485000,14,2,ff14fd9f
1199495000,14,3,017302a8
1199505000,14,4,ffeefe29
1199515000,14,5,ff96020a
1199525000,14,6,fee3fd55
1199535000,14,7,025f024c
1199545000,14,8,ff1afe41
1199555000,14,9,ff9e00b1
1199565000,14,10,0001006e
1199575000,14,11,0144ffd1
1199585000,14,12,fe52fe92
1199595000,14,13,006a012a
1199605000,14,14,00040041
1199615000,14,15,ff42ffb3
1199625000,14,16,016afec9
1199635000,14,17,fde50117
1199645000,14,18,013affcd
1199655000,14,19,0041009c
1199665000,14,20,feb0ff5f
1199675000,14,21,01ae01a8
1199685000,14,22,fee5fef9
1199695000,14,23,012b00b8
1199705000,14,24,fe08fee7
1199715000,14,25,02c20013
1199725000,14,26,fd3500aa
1199735000,14,27,0214001b
1199745000,14,28,ff08fed2
1199755000,14,29,0106013c
1199765000,14,30,0008ffad
1199775000,14,31,ffa0ff51
1204845000,15,0,fef5001f
1204855000,15,1,0048001e
1204865000,15,2,fdb0ff8a
1204875000,15,3,03090193
1204885000,15,4,fe7ffe97
1204895000,15,5,ff83011c
1204905000,15,6,009bffa2
1204915000,15,7,00ceffef
1204925000,15,8,febd0042
1204935000,15,9,00f9ffc7
1204945000,15,10,007bff2c
1204955000,15,11,000d01ab
1204965000,15,12,ff21fe07
1204975000,15,13,00250219
1204985000,15,14,fff5fee0
1204995000,15,15,00e8004d
1205005000,15,16,fe95fee9
1205015000,15,17,006401b0
1205025000,15,18,0038ff08
1205035000,15,19,0021ffb5
1205045000,15,20,ffc70063
1205055000,15,21,01570038
1205065000,15,22,ffad000e
1205075000,15,23,fea8000b
1205085000,15,24,014dff4e
1205095000,15,25,ff7bfe97
1205105000,15,26,ff9502c6
1205115000,15,27,ff79ffa5
1205125000,15,28,00ddfdd7
1205135000,15,29,00010147
1205145000,15,30,ff33fffc
1205155000,15,31,0192ffc1
1210225000,16,0,ffacff0d
1210235000,16,1,01170126
1210245000,16,2,fe67fed1
1210255000,16,3,00d200ef
1210265000,16,4,013dfe7a
1210275000,16,5,ff4f0153
1210285000,16,6,fe77001c
1210295000,16,7,0167ffa4
1210305000,16,8,0094ffdf
1210315000,16,9,fe840072
1210325000,16,10,003d0024
1210335000,16,11,00d20059
1210345000,16,12,ff75fee2
1210355000,16,13,ffac0146
1210365000,16,14,0110fe4f
1210375000,16,15,0000022e
1210385000,16,16,0128fdc9
1210395000,16,17,fd09010c
1210405000,16,18,0305ff63
1210415000,16,19,fe6e00b9
1210425000,16,20,0031fed2
1210435000,16,21,ff1f01bb
1210445000,16,22,00e7feb4
1210455000,16,23,003bff0e
1210465000,16,24,ff880187
1210475000,16,25,ff94fe28
1210485000,16,26,ff7301f4
1210495000,16,27,0116ffcf
1210505000,16,28,ffb5ff76
1210515000,16,29,ff460078
1210525000,16,30,01be0035
1210535000,16,31,fece0038
1215605000,17,0,ffc2ff58
1215615000,17,1,00b80075
1215625000,17,2,ff24ffbd
1215635000,17,3,00420157
1215645000,17,4,00dafe1d
1215655000,17,5,ff1200ba
1215665000,17,6,ffc60017
1215675000,17,7,01ec013d
1215685000,17,8,fea6fddb
1215695000,17,9,ff8d019f
1215705000,17,10,0086ff1a
1215715000,17,11,fffbffcb
1215725000,17,12,00090053
1215735000,17,13,feb1ffc7
1215745000,17,14,01b0ffe5
1215755000,17,15,ff000066
1215765000,17,16,0142fee6
1215775000,17,17,fd560149
1215785000,17,18,02c0ff77
1215795000,17,19,fe0e00d9
1215805000,17,20,013cffe9
1215815000,17,21,fe24008c
1215825000,17,22,01d8fe65
1215835000,17,23,000801f9
1215845000,17,24,ff4afe1b
1215855000,17,25,0055005f
1215865000,17,26,000e00ee
1215875000,17,27,ff7dff95
1215885000,17,28,014dfff3
1215895000,17,29,0089ff7f
1215905000,17,30,fe6a01f3
1215915000,17,31,0054fe7c
1220985000,18,0,0142ff7a
1220995000,18,1,fed90072
1221005000,18,2,007f021a
1221015000,18,3,fff3fd85
1221025000,18,4,0084010e
1221035000,18,5,003aff6d
1221045000,18,6,ff65017a
1221055000,18,7,01f7fdb1
1221065000,18,8,fde6014b
1221075000,18,9,016cff77
1221085000,18,10,ffebffec
1221095000,18,11,ff07ffa7
1221105000,18,12,00f000e7
1221115000,18,13,fe8efeb9
1221125000,18,14,011f0094
1221135000,18,15,ff4e0030
1221145000,18,16,003cff4a
1221155000,18,17,ff3d0142
1221165000,18,18,00e5fe1a
1221175000,18,19,ff6f0115
1221185000,18,20,011e00ea
1221195000,18,21,fed2ff99
1221205000,18,22,ffd1ffdc
1221215000,18,23,01350079
1221225000,18,24,ffd0fee1
1221235000,18,25,fe82ffcd
1221245000,18,26,01810170
1221255000,18,27,fedbfeb7
1221265000,18,28,00fa0099
1221275000,18,29,febaffa1
1221285000,18,30,025b00fe
1221295000,18,31,fdaaff76
1226365000,19,0,ffec0005
1226375000,19,1,00340193
1226385000,19,2,fee2fded
1226395000,19,3,023101bb
1226405000,19,4,fdb9fe67
1226415000,19,5,00a601ea
1226425000,19,6,ffa1fdc6
1226435000,19,7,01df0154
1226445000,19,8,fd83fefb
1226455000,19,9,00db0137
1226465000,19,10,00defe90
1226475000,19,11,fe16020a
1226485000,19,12,010f0036
1226495000,19,13,ff42feb9
1226505000,19,14,0143ffd8
1226515000,19,15,ff860242
1226525000,19,16,00fefc73
1226535000,19,17,fe5c035f
1226545000,19,18,00f4fd85
1226555000,19,19,ff5b00e5
1226565000,19,20,0165ffc3
1226575000,19,21,ff9600e2
1226585000,19,22,ff8bff9a
1226595000,19,23,ff2f0006
1226605000,19,24,0173ff59
1226615000,19,25,fe710023
1226625000,19,26,01a800e2
1226635000,19,27,ff5effc2
1226645000,19,28,004bfeb4
1226655000,19,29,ff6e00c7
1226665000,19,30,010d0164
1226675000,19,31,ff74fe00
1231745000,20,0,009a00ee
1231755000,20,1,feb9fe37
1231765000,20,2,0064ffcb
1231775000,20,3,00da0170
1231785000,20,4,ff65ff1f
1231795000,20,5,002effc2
1231805000,20,6,ff8affe9
1231815000,20,7,01320115
1231825000,20,8,fe10fe54
1231835000,20,9,009000e0
1231845000,20,10,00c4ffea
1231855000,20,11,fe190121
1231865000,20,12,0237fee7
1231875000,20,13,fdca002b
1231885000,20,14,00ca0049
1231895000,20,15,00e6003f
1231905000,20,16,001afe20
1231915000,20,17,ff11029f
1231925000,20,18,014afe91
1231935000,20,19,feca0102
1231945000,20,20,0075fe01
1231955000,20,21,ff60027a
1231965000,20,22,0058ff15
1231975000,20,23,ffcaffa7
1231985000,20,24,0078ff7e
1231995000,20,25,fefeffc2
1232005000,20,26,01ba026a
1232015000,20,27,fdfffe45
1232025000,20,28,01fb00f1
1232035000,20,29,ff40ffa9
1232045000,20,30,00800041
1232055000,20,31,ffd2ff95
1237125000,21,0,ff120007
1237135000,21,1,0037005e
1237145000,21,2,ff4cff2f
1237155000,21,3,007f00a6
1237165000,21,4,ffcaffd3
1237175000,21,5,ff9dffbd
1237185000,21,6,00f5ffa6
1237195000,21,7,ffdd0199
1237205000,21,8,0063fdc5
1237215000,21,9,fe9001ba
1237225000,21,10,00e0fee6
1237235000,21,11,00d80206
1237245000,21,12,ff4efcff
1237255000,21,13,ff480223
1237265000,21,14,0034feb3
1237275000,21,15,00a900ba
1237285000,21,16,0048ff39
1237295000,21,17,fe43ffc6
